VirtualAddress: 0x3f000L, PFN: 0x82861L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x40000L, PFN: 0x82862L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x41000L, PFN: 0x82863L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x42000L, PFN: 0x82864L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x43000L, PFN: 0x82865L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x44000L, PFN: 0xac6efL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x45000L, PFN: 0x82866L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x46000L, PFN: 0x82867L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x48000L, PFN: 0x82869L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x49000L, PFN: 0x8286aL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x4a000L, PFN: 0x90c2eL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x4b000L, PFN: 0x90c2dL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x4c000L, PFN: 0x90c2cL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x4d000L, PFN: 0x90c2bL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x4e000L, PFN: 0x90c2aL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x4f000L, PFN: 0x90c29L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x50000L, PFN: 0x90c28L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x51000L, PFN: 0x8c377L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x52000L, PFN: 0xa7e37L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x53000L, PFN: 0xa7e36L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x54000L, PFN: 0xa7e35L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x55000L, PFN: 0xa7e34L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x56000L, PFN: 0xa7e33L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x57000L, PFN: 0xa7e32L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x58000L, PFN: 0xa7e31L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x5a000L, PFN: 0x93a30L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x5b000L, PFN: 0x997d9L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x5c000L, PFN: 0x8bc15L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x5d000L, PFN: 0x997fbL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x5e000L, PFN: 0x831fdL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x5f000L, PFN: 0xb7b0eL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x60000L, PFN: 0xb0c3fL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x61000L, PFN: 0x854f3L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x62000L, PFN: 0xbb536L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x63000L, PFN: 0x848ceL, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x64000L, PFN: 0xaa0f7L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x65000L, PFN: 0xaabd0L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x66000L, PFN: 0xaabd3L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x67000L, PFN: 0xaabd8L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x68000L, PFN: 0xaabd9L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x69000L, PFN: 0x848b1L, Flags: 0x4400000828, Excl: 0x1, Pres: 0x1, Perm: r-xp 
VirtualAddress: 0x79000L, PFN: 0xa9490L, Flags: 0x5868, Excl: 0x1, Pres: 0x1, Perm: rw-p 
VirtualAddress: 0x7a000L, PFN: 0x91346L, Flags: 0x5868, Excl: 0x1, Pres: 0x1, Perm: rw-p 
